"date" "RM" "measurand" "t.value" "n" "PV" "U" "unit"
"2014-08-03" "MUH" "Al2O3" 2.09 20 1.33 0.0188 "g/100g"
"2014-08-03" "MUH" "Ba" 2.12 17 4.905 0.287 "mg/kg"
"2014-08-03" "MUH" "CaO" 2.09 21 1.215 0.0104 "g/100g"
"2014-08-03" "MUH" "Ce" 2.16 14 0.1985 0.0166 "mg/kg"
"2014-08-03" "MUH" "Co" 2.08 22 106.9 2.45 "mg/kg"
"2014-08-03" "MUH" "Cr" 2.09 21 2706 57.7 "mg/kg"
"2014-08-03" "MUH" "Cs" 2.18 13 0.09755 0.00281 "mg/kg"
"2014-08-03" "MUH" "Cu" 2.12 17 18.89 0.702 "mg/kg"
"2014-08-03" "MUH" "Dy" 2.12 17 0.1542 0.00663 "mg/kg"
"2014-08-03" "MUH" "Er" 2.12 17 0.109 0.0022 "mg/kg"
"2014-08-03" "MUH" "Eu" 2.14 15 0.02655 0.000973 "mg/kg"
"2014-08-03" "MUH" "Fe2O3T" 2.07 23 8.585 0.0534 "g/100g"
"2014-08-03" "MUH" "Ga" 2.23 11 1.4 0.0949 "mg/kg"
"2014-08-03" "MUH" "Gd" 2.2 12 0.1104 0.00442 "mg/kg"
"2014-08-03" "MUH" "Hf" 2.18 13 0.03745 0.0126 "mg/kg"
"2014-08-03" "MUH" "Ho" 2.18 13 0.03519 0.00154 "mg/kg"
"2014-08-03" "MUH" "K2O" 2.16 14 0.01093 0.0028 "g/100g"
"2014-08-03" "MUH" "La" 2.14 15 0.1344 0.00622 "g/100g"
"2014-08-03" "MUH" "LOI" 2.08 22 9.335 0.088 "g/100g"
"2014-08-03" "MUH" "Lu" 2.13 16 0.019 0.000913 "mg/kg"
"2014-08-03" "MUH" "MgO" 2.07 23 38.28 0.163 "g/100g"
"2014-08-03" "MUH" "MnO" 2.09 21 0.1176 0.00139 "g/100g"
"2014-08-03" "MUH" "Na2O" 2.11 18 0.1 0.00986 "g/100g"
"2014-08-03" "MUH" "Nd" 2.14 15 0.1745 0.00717 "mg/kg"
"2014-08-03" "MUH" "Ni" 2.09 21 2102 26.2 "mg/kg"
"2014-08-03" "MUH" "P2O5" 2.18 13 0.008142 0.0022 "g/100g"
"2014-08-03" "MUH" "Pr" 2.18 13 0.03467 0.00186 "g/100g"
"2014-08-03" "MUH" "Rb" 2.16 14 0.268 0.0291 "mg/kg"
"2014-08-03" "MUH" "Sc" 2.1 19 9.209 0.367 "mg/kg"
"2014-08-03" "MUH" "SiO2" 2.08 22 40.35 0.17 "g/100g"
"2014-08-03" "MUH" "Sm" 2.12 17 0.06745 0.00213 "mg/kg"
"2014-08-03" "MUH" "Sr" 2.07 24 8.529 0.295 "mg/kg"
"2014-08-03" "MUH" "Tb" 2.14 15 0.0212 0.000722 "mg/kg"
"2014-08-03" "MUH" "Th" 2.23 11 0.016 0.00416 "mg/kg"
"2014-08-03" "MUH" "TiO2" 2.07 24 0.0346 0.00186 "g/100g"
"2014-08-03" "MUH" "Tm" 2.16 14 0.01698 0.000734 "mg/kg"
"2014-08-03" "MUH" "U" 2.2 12 0.01392 0.00232 "mg/kg"
"2014-08-03" "MUH" "V" 2.1 19 40.99 2.24 "mg/kg"
"2014-08-03" "MUH" "Y" 2.12 17 0.966 0.0465 "mg/kg"
"2014-08-03" "MUH" "Yb" 2.11 18 0.1164 0.00275 "mg/kg"
"2014-08-03" "MUH" "Zn" 2.07 23 44.21 1.77 "mg/kg"
"2014-08-03" "MUH" "As" 2.36 8 3.582 0.738 "mg/kg"
"2014-08-03" "MUH" "Be" 4.3 3 0.01241 0.0042 "mg/kg"
"2014-08-03" "MUH" "CO2" 12.71 2 1.021 0.685 "g/100g"
"2014-08-03" "MUH" "FeO" 4.3 3 3.3 1.61 "g/100g"
"2014-08-03" "MUH" "H2O." 3.18 4 0.1162 0.125 "g/100g"
"2014-08-03" "MUH" "Li" 2.45 7 1.678 0.465 "mg/kg"
"2014-08-03" "MUH" "Nb" 2.36 8 0.05852 0.0224 "mg/kg"
"2014-08-03" "MUH" "Pb" 2.36 8 0.4356 0.0652 "mg/kg"
"2014-08-03" "MUH" "Sb" 2.78 5 0.1353 0.0192 "mg/kg"
"2014-08-03" "MUH" "Sn" 3.18 4 0.06001 0.229 "mg/kg"
"2014-08-03" "MUH" "Ta" 2.31 9 0.005943 0.00594 "mg/kg"
"2014-08-03" "MUH" "Tl" 12.71 2 0.003436 0.00119 "mg/kg"
"2014-08-03" "MUH" "Zr" 2.31 9 0.579 0.294 "mg/kg"
